1CM8_v103904189 6.8
1CM8_v103904191 5.5
1CM8_v103904192 6.7
1CM8_v103904193 6.8
1CM8_v103904197 5.6
1CM8_v103904202 6.3
1CM8_v103904203 6.1
1CM8_v103904204 5.4
1CM8_v103904214 5.2
1CM8_v103904216 5.8
1CM8_v103904277 6.4
1CM8_v103904292 5.3
1CM8_v103904403 5.3
1CM8_v103904419 5.9
1CM8_v103904463 5.9
1CM8_v103904464 5.7
1CM8_v103904465 5.4
1CM8_v103904466 6.
1CM8_v103904468 5.5
1CM8_v103904470 5.3
1CM8_v103904471 5.6
1CM8_v103904479 6.4
1CM8_v103904480 6.4
1CM8_v103904482 5.4
1CM8_v103904483 5.5
1CM8_v103904484 6.
1CM8_v103904487 5.2
1CM8_v103904505 6.2
1CM8_v103904508 5.3
1CM8_v103904510 5.4
1CM8_v103904511 6.8
1CM8_v103904512 5.2
1CM8_v103904513 5.3
1CM8_v103904514 6.7
1CM8_v103904519 7.1
1CM8_v103904527 5.6
1CM8_v103904529 5.7
1CM8_v103904554 5.5
1CM8_v103904591 6.3
1CM8_v103904592 7.4
1CM8_v103904593 7.4
1CM8_v103904594 6.8
1CM8_v103904595 5.8
1CM8_v103904596 5.5
1CM8_v103904600 6.9
1CM8_v103904602 5.2
1CM8_v103904603 5.5
1CM8_v103904604 7.5
1CM8_v103904649 6.3
1CM8_v103904657 5.3
1CM8_v103904683 5.6
1CM8_v103904711 5.8
1CM8_v103904739 5.8
1CM8_v103904742 5.8
1CM8_v103904751 5.8
1CM8_v103904752 5.7
1CM8_v103904754 5.6
1CM8_v103904784 5.5
1CM8_v103904785 5.6
1CM8_v103904787 5.8
1CM8_v103904788 5.8
1CM8_v103904828 6.3
1CM8_v103904882 5.3
1CM8_v103904885 5.4
1CM8_v103904887 5.2
1CM8_v103904912 6.5
1CM8_v103904913 6.
1CM8_v103904938 5.3
1CM8_v103904953 5.5
1CM8_v103904960 5.9
1CM8_v103904961 5.3
1CM8_v103904962 5.3
1CM8_v103904965 5.7
1CM8_v103904978 5.2
1CM8_v103904980 5.2
1CM8_v103904984 7.1
1CM8_v103904985 7.1
1CM8_v103904988 6.6
1CM8_v103904991 5.5
1CM8_v103905036 5.3
1CM8_v103905046 5.3
1CM8_v103905055 5.5
1CM8_v103905096 5.6
1CM8_v103905136 5.6
1CM8_v103905137 5.5
1CM8_v103905151 5.2
1CM8_v103905167 7.5
1CM8_v103905209 5.2
1CM8_v103905215 5.4
1CM8_v103905219 6.
1CM8_v103905250 6.
1CM8_v103905259 6.6
1CM8_v103905260 5.3
1CM8_v103905271 5.4
1CM8_v103905287 5.3
1CM8_v103905354 5.4
1CM8_v103905437 6.
1CM8_v103905453 6.
1CM8_v103905576 5.5
1CM8_v103905583 5.8
1CM8_v103905594 5.3
1CM8_v103905598 6.6
1CM8_v103905628 6.1
1CM8_v103905665 5.5
1CM8_v103905684 5.6
1Q41_v103904189 7.3
1Q41_v103904190 6.4
1Q41_v103904191 6.1
1Q41_v103904192 8.
1Q41_v103904193 7.3
1Q41_v103904194 6.1
1Q41_v103904195 6.8
1Q41_v103904196 6.3
1Q41_v103904199 5.8
1Q41_v103904200 6.4
1Q41_v103904201 8.1
1Q41_v103904202 6.7
1Q41_v103904203 6.7
1Q41_v103904204 5.9
1Q41_v103904205 7.5
1Q41_v103904206 5.8
1Q41_v103904207 6.2
1Q41_v103904208 7.5
1Q41_v103904209 5.8
1Q41_v103904210 6.3
1Q41_v103904211 5.7
1Q41_v103904212 5.8
1Q41_v103904214 5.8
1Q41_v103904216 7.2
1Q41_v103904217 5.5
1Q41_v103904219 5.8
1Q41_v103904220 6.6
1Q41_v103904221 6.1
1Q41_v103904222 6.4
1Q41_v103904224 6.1
1Q41_v103904225 7.1
1Q41_v103904226 5.9
1Q41_v103904227 7.
1Q41_v103904228 6.2
1Q41_v103904229 5.7
1Q41_v103904230 6.1
1Q41_v103904231 6.9
1Q41_v103904232 7.
1Q41_v103904233 7.5
1Q41_v103904234 6.3
1Q41_v103904235 6.6
1Q41_v103904236 7.4
1Q41_v103904237 6.9
1Q41_v103904238 7.9
1Q41_v103904240 6.1
1Q41_v103904241 6.8
1Q41_v103904242 5.7
1Q41_v103904243 7.
1Q41_v103904244 6.9
1Q41_v103904245 7.3
1Q41_v103904246 8.1
1Q41_v103904247 7.
1Q41_v103904248 6.
1Q41_v103904249 6.5
1Q41_v103904250 6.6
1Q41_v103904251 7.6
1Q41_v103904254 6.1
1Q41_v103904255 7.
1Q41_v103904256 6.7
1Q41_v103904257 7.
1Q41_v103904258 6.1
1Q41_v103904259 6.9
1Q41_v103904260 7.8
1Q41_v103904261 7.5
1Q41_v103904271 6.2
1Q41_v103904273 5.6
1Q41_v103904277 6.
1Q41_v103904279 6.
1Q41_v103904280 5.6
1Q41_v103904281 6.1
1Q41_v103904282 5.5
1Q41_v103904283 5.2
1Q41_v103904284 5.2
1Q41_v103904292 6.7
1Q41_v103904293 5.3
1Q41_v103904294 5.7
1Q41_v103904296 6.5
1Q41_v103904300 5.5
1Q41_v103904302 5.8
1Q41_v103904303 5.9
1Q41_v103904304 5.7
1Q41_v103904316 6.
1Q41_v103904318 5.7
1Q41_v103904323 5.9
1Q41_v103904325 6.2
1Q41_v103904329 5.3
1Q41_v103904330 5.8
1Q41_v103904333 5.4
1Q41_v103904341 5.3
1Q41_v103904346 5.3
1Q41_v103904348 5.5
1Q41_v103904349 5.7
1Q41_v103904351 5.2
1Q41_v103904356 5.7
1Q41_v103904357 5.7
1Q41_v103904361 6.
1Q41_v103904364 5.6
1Q41_v103904366 5.7
1Q41_v103904370 5.4
1Q41_v103904377 5.2
1Q41_v103904403 5.8
1Q41_v103904404 5.8
1Q41_v103904408 5.8
1Q41_v103904410 5.3
1Q41_v103904411 7.3
1Q41_v103904413 5.5
1Q41_v103904414 6.7
1Q41_v103904419 6.3
1Q41_v103904420 6.1
1Q41_v103904422 5.8
1Q41_v103904423 7.1
1Q41_v103904424 5.3
1Q41_v103904425 6.2
1Q41_v103904441 6.1
1Q41_v103904448 6.1
1Q41_v103904449 6.1
1Q41_v103904450 6.3
1Q41_v103904451 5.4
1Q41_v103904452 5.6
1Q41_v103904462 8.6
1Q41_v103904463 7.7
1Q41_v103904464 7.9
1Q41_v103904465 7.7
1Q41_v103904466 7.9
1Q41_v103904467 5.7
1Q41_v103904468 7.2
1Q41_v103904469 5.6
1Q41_v103904470 6.1
1Q41_v103904474 5.5
1Q41_v103904475 6.2
1Q41_v103904477 7.
1Q41_v103904478 6.2
1Q41_v103904479 7.8
1Q41_v103904480 7.5
1Q41_v103904482 5.9
1Q41_v103904483 7.2
1Q41_v103904484 8.
1Q41_v103904485 6.9
1Q41_v103904486 6.8
1Q41_v103904490 8.1
1Q41_v103904491 6.8
1Q41_v103904492 6.
1Q41_v103904493 5.9
1Q41_v103904494 6.2
1Q41_v103904495 5.2
1Q41_v103904496 6.2
1Q41_v103904497 5.6
1Q41_v103904498 6.4
1Q41_v103904499 7.6
1Q41_v103904502 6.4
1Q41_v103904504 5.6
1Q41_v103904506 5.5
1Q41_v103904507 8.7
1Q41_v103904508 6.7
1Q41_v103904509 7.
1Q41_v103904510 7.4
1Q41_v103904513 8.5
1Q41_v103904515 7.8
1Q41_v103904516 7.
1Q41_v103904517 6.1
1Q41_v103904518 6.7
1Q41_v103904519 8.6
1Q41_v103904520 6.2
1Q41_v103904521 7.7
1Q41_v103904522 7.4
1Q41_v103904525 6.
1Q41_v103904527 7.4
1Q41_v103904528 7.2
1Q41_v103904529 8.2
1Q41_v103904530 6.3
1Q41_v103904532 7.9
1Q41_v103904534 8.4
1Q41_v103904536 7.8
1Q41_v103904537 7.7
1Q41_v103904538 8.
1Q41_v103904539 8.3
1Q41_v103904540 8.4
1Q41_v103904545 5.2
1Q41_v103904547 7.5
1Q41_v103904552 6.8
1Q41_v103904553 6.
1Q41_v103904554 6.7
1Q41_v103904555 7.2
1Q41_v103904556 7.1
1Q41_v103904557 6.6
1Q41_v103904558 6.9
1Q41_v103904559 7.
1Q41_v103904561 5.9
1Q41_v103904562 6.8
1Q41_v103904563 6.7
1Q41_v103904565 6.2
1Q41_v103904566 5.9
1Q41_v103904570 6.4
1Q41_v103904571 5.8
1Q41_v103904572 6.1
1Q41_v103904573 8.6
1Q41_v103904575 6.3
1Q41_v103904578 5.9
1Q41_v103904580 5.6
1Q41_v103904581 5.7
1Q41_v103904582 5.7
1Q41_v103904583 5.6
1Q41_v103904590 8.
1Q41_v103904592 6.9
1Q41_v103904593 8.1
1Q41_v103904594 7.9
1Q41_v103904595 8.2
1Q41_v103904596 5.7
1Q41_v103904602 5.5
1Q41_v103904603 6.1
1Q41_v103904605 8.3
1Q41_v103904610 5.7
1Q41_v103904612 8.1
1Q41_v103904614 7.5
1Q41_v103904615 7.
1Q41_v103904616 7.8
1Q41_v103904617 7.3
1Q41_v103904618 8.5
1Q41_v103904619 5.9
1Q41_v103904621 5.2
1Q41_v103904634 7.6
1Q41_v103904645 6.2
1Q41_v103904649 7.9
1Q41_v103904651 5.5
1Q41_v103904655 7.2
